Farm_ID,Date,Crop,Disease,Growth_Stage,Weather_Condition,Severity,Treatment_Applied,Treatment_Type,Dosage,Cost_Per_Acre,Outcome,Analyst_Notes
5cd85410,1/3/2026,Tomato,Late Blight,Fruiting,Humid,Low,Fixed Copper,Organic,2.0 pts/acre,10,Partial Control,Fixed Copper used during Fruiting stage under Humid conditions for Low Late Blight. Outcome: Partial Control. Recommended.
e115a39b,10/14/2025,Potato,Late Blight,Fruiting,Cold,Low,Propamocarb,Chemical,2.0 pts/acre,38,Success,Propamocarb used during Fruiting stage under Cold conditions for Low Late Blight. Outcome: Success. Recommended.
020e4d0a,8/24/2025,Apple,Cedar Apple Rust,Harvest Ready,Rainy,High,Propiconazole,Chemical,3.0 pts/acre,25,Failure,Propiconazole used during Harvest Ready stage under Rainy conditions for High Cedar Apple Rust. Outcome: Failure. unsafe due to PHI (14 days).
8de392fa,6/19/2025,Apple,Black Rot,Harvest Ready,Humid,Low,Thiophanate-methyl,Chemical,2.0 pts/acre,32,Success,Thiophanate-methyl used during Harvest Ready stage under Humid conditions for Low Black Rot. Outcome: Success. Recommended.
acbfdeca,4/28/2025,Tomato,Early Blight,Seedling,Humid,High,Copper Hydroxide,Organic,3.0 pts/acre,18,Partial Control,Copper Hydroxide used during Seedling stage under Humid conditions for High Early Blight. Outcome: Partial Control. Recommended.
b59ad50b,8/23/2025,Potato,Late Blight,Vegetative,Hot,Critical,Fixed Copper,Organic,3.0 pts/acre,14,Failure,Fixed Copper used during Vegetative stage under Hot conditions for Critical Late Blight. Outcome: Failure. Recommended.
8ee9c155,8/19/2025,Grape,Esca (Black Measles),Flowering,Hot,Low,Pruning & Sanitation,Mechanical,2.0 pts/acre,105,Partial Control,Pruning & Sanitation used during Flowering stage under Hot conditions for Low Esca (Black Measles). Outcome: Partial Control. Recommended.
78974a13,12/15/2025,Potato,Early Blight,Harvest Ready,Rainy,Low,Chlorothalonil (Bravo),Chemical,2.0 pts/acre,28,Partial Control,Chlorothalonil (Bravo) used during Harvest Ready stage under Rainy conditions for Low Early Blight. Outcome: Partial Control. Recommended.
ac791432,5/7/2025,Apple,Cedar Apple Rust,Seedling,Cold,Low,Myclobutanil,Chemical,2.0 pts/acre,41,Success,Myclobutanil used during Seedling stage under Cold conditions for Low Cedar Apple Rust. Outcome: Success. Recommended.
36b2d321,12/4/2025,Apple,Cedar Apple Rust,Harvest Ready,Hot,High,Myclobutanil,Chemical,3.0 pts/acre,43,Failure,Myclobutanil used during Harvest Ready stage under Hot conditions for High Cedar Apple Rust. Outcome: Failure. unsafe due to PHI (14 days).
4478b487,2/15/2026,Grape,Esca (Black Measles),Harvest Ready,Cold,Moderate,Trichoderma species,Organic,2.0 pts/acre,43,Partial Control,Trichoderma species used during Harvest Ready stage under Cold conditions for Moderate Esca (Black Measles). Outcome: Partial Control. Recommended.
dc89f6ee,3/17/2025,Apple,Black Rot,Seedling,Dry/Sunny,High,Captan,Chemical,3.0 pts/acre,23,Partial Control,Captan used during Seedling stage under Dry/Sunny conditions for High Black Rot. Outcome: Partial Control. Recommended.
59f66a1f,2/5/2026,Apple,Apple Scab,Harvest Ready,Hot,Moderate,Myclobutanil,Chemical,2.0 pts/acre,41,Failure,Myclobutanil used during Harvest Ready stage under Hot conditions for Moderate Apple Scab. Outcome: Failure. unsafe due to PHI (14 days).
5c0be19d,1/14/2026,Apple,Apple Scab,Vegetative,Hot,Critical,Myclobutanil,Chemical,3.0 pts/acre,35,Success,Myclobutanil used during Vegetative stage under Hot conditions for Critical Apple Scab. Outcome: Success. Recommended.
f69531e7,1/4/2026,Grape,Esca (Black Measles),Vegetative,Cold,Moderate,Trichoderma species,Organic,2.0 pts/acre,42,Partial Control,Trichoderma species used during Vegetative stage under Cold conditions for Moderate Esca (Black Measles). Outcome: Partial Control. Recommended.
8e313987,11/16/2025,Grape,Leaf Blight,Fruiting,Rainy,Critical,Mancozeb,Chemical,3.0 pts/acre,21,Partial Control,Mancozeb used during Fruiting stage under Rainy conditions for Critical Leaf Blight. Outcome: Partial Control. Recommended.
cdd57e0c,6/7/2025,Grape,Esca (Black Measles),Fruiting,Hot,Low,Trichoderma species,Organic,2.0 pts/acre,39,Partial Control,Trichoderma species used during Fruiting stage under Hot conditions for Low Esca (Black Measles). Outcome: Partial Control. Recommended.
15cae294,5/21/2025,Tomato,Early Blight,Fruiting,Humid,High,Azoxystrobin (Quadris),Chemical,3.0 pts/acre,47,Success,Azoxystrobin (Quadris) used during Fruiting stage under Humid conditions for High Early Blight. Outcome: Success. Recommended.
a61ffef3,8/6/2025,Tomato,Late Blight,Seedling,Cold,High,Fixed Copper,Organic,3.0 pts/acre,20,Partial Control,Fixed Copper used during Seedling stage under Cold conditions for High Late Blight. Outcome: Partial Control. Recommended.
9b99358e,8/25/2025,Tomato,Early Blight,Flowering,Cold,Moderate,Copper Hydroxide,Organic,2.0 pts/acre,17,Partial Control,Copper Hydroxide used during Flowering stage under Cold conditions for Moderate Early Blight. Outcome: Partial Control. Recommended.
87a62bd0,2/14/2026,Tomato,Bacterial Spot,Seedling,Hot,Moderate,Agri-Mycin,Chemical,2.0 pts/acre,37,Partial Control,Agri-Mycin used during Seedling stage under Hot conditions for Moderate Bacterial Spot. Outcome: Partial Control. Recommended.
8163856a,10/16/2025,Potato,Early Blight,Fruiting,Humid,Moderate,Bacillus subtilis,Organic,2.0 pts/acre,31,Partial Control,Bacillus subtilis used during Fruiting stage under Humid conditions for Moderate Early Blight. Outcome: Partial Control. Recommended.
11a650a1,3/10/2025,Potato,Late Blight,Fruiting,Cold,Moderate,Ridomil Gold,Chemical,2.0 pts/acre,54,Success,Ridomil Gold used during Fruiting stage under Cold conditions for Moderate Late Blight. Outcome: Success. Recommended.
4f7502c9,9/4/2025,Apple,Cedar Apple Rust,Seedling,Humid,High,Propiconazole,Chemical,3.0 pts/acre,31,Success,Propiconazole used during Seedling stage under Humid conditions for High Cedar Apple Rust. Outcome: Success. Recommended.
64958a53,4/29/2025,Potato,Early Blight,Fruiting,Hot,High,Bacillus subtilis,Organic,3.0 pts/acre,34,Partial Control,Bacillus subtilis used during Fruiting stage under Hot conditions for High Early Blight. Outcome: Partial Control. Recommended.
4925510a,5/9/2025,Grape,Esca (Black Measles),Fruiting,Humid,High,Trichoderma species,Organic,3.0 pts/acre,43,Failure,Trichoderma species used during Fruiting stage under Humid conditions for High Esca (Black Measles). Outcome: Failure. Recommended.
ce98d642,7/21/2025,Apple,Cedar Apple Rust,Fruiting,Rainy,Low,Propiconazole,Chemical,2.0 pts/acre,26,Success,Propiconazole used during Fruiting stage under Rainy conditions for Low Cedar Apple Rust. Outcome: Success. Recommended.
dd922a0c,10/17/2025,Tomato,Bacterial Spot,Flowering,Rainy,Critical,Bacteriophages,Organic,3.0 pts/acre,55,Failure,Bacteriophages used during Flowering stage under Rainy conditions for Critical Bacterial Spot. Outcome: Failure. Recommended.
a9ac428b,3/3/2025,Apple,Black Rot,Vegetative,Cold,Moderate,Thiophanate-methyl,Chemical,2.0 pts/acre,34,Success,Thiophanate-methyl used during Vegetative stage under Cold conditions for Moderate Black Rot. Outcome: Success. Recommended.
114e58b1,3/12/2025,Apple,Black Rot,Fruiting,Hot,High,Thiophanate-methyl,Chemical,3.0 pts/acre,27,Success,Thiophanate-methyl used during Fruiting stage under Hot conditions for High Black Rot. Outcome: Success. Recommended.
a18bf087,12/27/2025,Potato,Late Blight,Flowering,Humid,Moderate,Propamocarb,Chemical,2.0 pts/acre,39,Success,Propamocarb used during Flowering stage under Humid conditions for Moderate Late Blight. Outcome: Success. Recommended.
c4286b57,9/21/2025,Grape,Leaf Blight,Harvest Ready,Cold,High,Copper Oxychloride,Chemical,3.0 pts/acre,23,Partial Control,Copper Oxychloride used during Harvest Ready stage under Cold conditions for High Leaf Blight. Outcome: Partial Control. Recommended.
067094aa,9/15/2025,Grape,Esca (Black Measles),Seedling,Humid,Moderate,Pruning & Sanitation,Mechanical,2.0 pts/acre,99,Partial Control,Pruning & Sanitation used during Seedling stage under Humid conditions for Moderate Esca (Black Measles). Outcome: Partial Control. Recommended.
0d267e4b,5/29/2025,Grape,Esca (Black Measles),Fruiting,Humid,Moderate,Pruning & Sanitation,Mechanical,2.0 pts/acre,105,Partial Control,Pruning & Sanitation used during Fruiting stage under Humid conditions for Moderate Esca (Black Measles). Outcome: Partial Control. Recommended.
73cda44c,3/23/2025,Tomato,Early Blight,Seedling,Hot,Moderate,Azoxystrobin (Quadris),Chemical,2.0 pts/acre,41,Success,Azoxystrobin (Quadris) used during Seedling stage under Hot conditions for Moderate Early Blight. Outcome: Success. Recommended.
e60c1474,7/6/2025,Apple,Apple Scab,Harvest Ready,Humid,Low,Myclobutanil,Chemical,2.0 pts/acre,41,Failure,Myclobutanil used during Harvest Ready stage under Humid conditions for Low Apple Scab. Outcome: Failure. unsafe due to PHI (14 days).
65afef2c,2/16/2026,Tomato,Early Blight,Seedling,Humid,Moderate,Azoxystrobin (Quadris),Chemical,2.0 pts/acre,48,Success,Azoxystrobin (Quadris) used during Seedling stage under Humid conditions for Moderate Early Blight. Outcome: Success. Recommended.
0ba44c7d,7/30/2025,Potato,Early Blight,Seedling,Dry/Sunny,Moderate,Copper Hydroxide,Organic,2.0 pts/acre,17,Partial Control,Copper Hydroxide used during Seedling stage under Dry/Sunny conditions for Moderate Early Blight. Outcome: Partial Control. Recommended.
5c6c0023,8/9/2025,Tomato,Late Blight,Vegetative,Dry/Sunny,Critical,Propamocarb,Chemical,3.0 pts/acre,43,Success,Propamocarb used during Vegetative stage under Dry/Sunny conditions for Critical Late Blight. Outcome: Success. Recommended.
2b9ae10a,5/12/2025,Potato,Late Blight,Flowering,Dry/Sunny,Critical,Ridomil Gold,Chemical,3.0 pts/acre,58,Success,Ridomil Gold used during Flowering stage under Dry/Sunny conditions for Critical Late Blight. Outcome: Success. Recommended.
ba88ea39,11/25/2025,Grape,Esca (Black Measles),Vegetative,Hot,Moderate,Pruning & Sanitation,Mechanical,2.0 pts/acre,100,Partial Control,Pruning & Sanitation used during Vegetative stage under Hot conditions for Moderate Esca (Black Measles). Outcome: Partial Control. Recommended.
ab959360,2/12/2026,Tomato,Early Blight,Flowering,Cold,Critical,Mancozeb (Dithane),Chemical,3.0 pts/acre,20,Success,Mancozeb (Dithane) used during Flowering stage under Cold conditions for Critical Early Blight. Outcome: Success. Recommended.
7d3fa446,10/22/2025,Grape,Black Rot,Vegetative,Hot,Low,Lime Sulfur,Organic,2.0 pts/acre,16,Partial Control,Lime Sulfur used during Vegetative stage under Hot conditions for Low Black Rot. Outcome: Partial Control. Recommended.
63f98d63,9/14/2025,Grape,Esca (Black Measles),Flowering,Cold,Moderate,Trichoderma species,Organic,2.0 pts/acre,35,Partial Control,Trichoderma species used during Flowering stage under Cold conditions for Moderate Esca (Black Measles). Outcome: Partial Control. Recommended.
92aa7332,1/4/2026,Grape,Leaf Blight,Vegetative,Hot,High,Copper Oxychloride,Chemical,3.0 pts/acre,21,Partial Control,Copper Oxychloride used during Vegetative stage under Hot conditions for High Leaf Blight. Outcome: Partial Control. Recommended.
a863ae43,1/21/2026,Tomato,Early Blight,Seedling,Cold,Low,Bacillus subtilis,Organic,2.0 pts/acre,27,Partial Control,Bacillus subtilis used during Seedling stage under Cold conditions for Low Early Blight. Outcome: Partial Control. Recommended.
b0c4a4f1,8/2/2025,Tomato,Late Blight,Fruiting,Humid,Critical,Fixed Copper,Organic,3.0 pts/acre,13,Failure,Fixed Copper used during Fruiting stage under Humid conditions for Critical Late Blight. Outcome: Failure. Recommended.
146d3c79,12/21/2025,Apple,Apple Scab,Vegetative,Cold,High,Myclobutanil,Chemical,3.0 pts/acre,33,Success,Myclobutanil used during Vegetative stage under Cold conditions for High Apple Scab. Outcome: Success. Recommended.
2b5de5fe,8/24/2025,Grape,Leaf Blight,Vegetative,Humid,High,Mancozeb,Chemical,3.0 pts/acre,20,Partial Control,Mancozeb used during Vegetative stage under Humid conditions for High Leaf Blight. Outcome: Partial Control. Recommended.
a27b8213,11/16/2025,Tomato,Early Blight,Harvest Ready,Cold,Critical,Azoxystrobin (Quadris),Chemical,3.0 pts/acre,50,Success,Azoxystrobin (Quadris) used during Harvest Ready stage under Cold conditions for Critical Early Blight. Outcome: Success. Recommended.
aa50161a,11/15/2025,Grape,Leaf Blight,Fruiting,Dry/Sunny,Critical,Copper Oxychloride,Chemical,3.0 pts/acre,18,Partial Control,Copper Oxychloride used during Fruiting stage under Dry/Sunny conditions for Critical Leaf Blight. Outcome: Partial Control. Recommended.
8da409fe,11/26/2025,Potato,Early Blight,Seedling,Hot,Low,Bacillus subtilis,Organic,2.0 pts/acre,27,Partial Control,Bacillus subtilis used during Seedling stage under Hot conditions for Low Early Blight. Outcome: Partial Control. Recommended.
029988f3,4/4/2025,Grape,Esca (Black Measles),Vegetative,Cold,Low,Trichoderma species,Organic,2.0 pts/acre,37,Partial Control,Trichoderma species used during Vegetative stage under Cold conditions for Low Esca (Black Measles). Outcome: Partial Control. Recommended.
59ffb8ac,8/6/2025,Tomato,Bacterial Spot,Vegetative,Hot,Moderate,Copper + Mancozeb,Chemical,2.0 pts/acre,29,Success,Copper + Mancozeb used during Vegetative stage under Hot conditions for Moderate Bacterial Spot. Outcome: Success. Recommended.
e0d32e36,3/16/2025,Apple,Apple Scab,Vegetative,Humid,High,Captan,Chemical,3.0 pts/acre,19,Partial Control,Captan used during Vegetative stage under Humid conditions for High Apple Scab. Outcome: Partial Control. Recommended.
9558328e,1/6/2026,Potato,Early Blight,Vegetative,Humid,Moderate,Mancozeb (Dithane),Chemical,2.0 pts/acre,17,Success,Mancozeb (Dithane) used during Vegetative stage under Humid conditions for Moderate Early Blight. Outcome: Success. Recommended.
f2394928,2/19/2025,Potato,Early Blight,Harvest Ready,Cold,High,Copper Hydroxide,Organic,3.0 pts/acre,17,Partial Control,Copper Hydroxide used during Harvest Ready stage under Cold conditions for High Early Blight. Outcome: Partial Control. Recommended.
03c4ea44,8/25/2025,Grape,Leaf Blight,Fruiting,Rainy,Low,Mancozeb,Chemical,2.0 pts/acre,24,Partial Control,Mancozeb used during Fruiting stage under Rainy conditions for Low Leaf Blight. Outcome: Partial Control. Recommended.
87ff83c0,3/5/2025,Potato,Late Blight,Fruiting,Dry/Sunny,Moderate,Fixed Copper,Organic,2.0 pts/acre,17,Partial Control,Fixed Copper used during Fruiting stage under Dry/Sunny conditions for Moderate Late Blight. Outcome: Partial Control. Recommended.
1990e659,3/17/2025,Tomato,Late Blight,Flowering,Humid,Low,Propamocarb,Chemical,2.0 pts/acre,43,Success,Propamocarb used during Flowering stage under Humid conditions for Low Late Blight. Outcome: Success. Recommended.
856047c1,4/1/2025,Potato,Late Blight,Seedling,Dry/Sunny,Critical,Propamocarb,Chemical,3.0 pts/acre,43,Success,Propamocarb used during Seedling stage under Dry/Sunny conditions for Critical Late Blight. Outcome: Success. Recommended.
08d6478c,1/30/2026,Apple,Apple Scab,Seedling,Humid,Moderate,Captan,Chemical,2.0 pts/acre,20,Success,Captan used during Seedling stage under Humid conditions for Moderate Apple Scab. Outcome: Success. Recommended.
f412bf23,6/4/2025,Apple,Cedar Apple Rust,Fruiting,Humid,Low,Propiconazole,Chemical,2.0 pts/acre,28,Success,Propiconazole used during Fruiting stage under Humid conditions for Low Cedar Apple Rust. Outcome: Success. Recommended.
07c3d6de,9/8/2025,Grape,Leaf Blight,Harvest Ready,Hot,High,Mancozeb,Chemical,3.0 pts/acre,24,Failure,Mancozeb used during Harvest Ready stage under Hot conditions for High Leaf Blight. Outcome: Failure. unsafe due to PHI (66 days).
883c9161,1/16/2026,Grape,Esca (Black Measles),Flowering,Humid,Critical,Pruning & Sanitation,Mechanical,3.0 pts/acre,104,Partial Control,Pruning & Sanitation used during Flowering stage under Humid conditions for Critical Esca (Black Measles). Outcome: Partial Control. Recommended.
8fe501c1,12/25/2025,Apple,Apple Scab,Seedling,Hot,Critical,Captan,Chemical,3.0 pts/acre,26,Success,Captan used during Seedling stage under Hot conditions for Critical Apple Scab. Outcome: Success. Recommended.
8d01d75a,1/19/2026,Tomato,Bacterial Spot,Harvest Ready,Humid,Critical,Agri-Mycin,Chemical,3.0 pts/acre,30,Partial Control,Agri-Mycin used during Harvest Ready stage under Humid conditions for Critical Bacterial Spot. Outcome: Partial Control. Recommended.
49f8696d,4/15/2025,Apple,Black Rot,Vegetative,Dry/Sunny,Critical,Captan,Chemical,3.0 pts/acre,20,Success,Captan used during Vegetative stage under Dry/Sunny conditions for Critical Black Rot. Outcome: Success. Recommended.
3b84d17f,12/29/2025,Tomato,Bacterial Spot,Flowering,Dry/Sunny,Moderate,Agri-Mycin,Chemical,2.0 pts/acre,34,Partial Control,Agri-Mycin used during Flowering stage under Dry/Sunny conditions for Moderate Bacterial Spot. Outcome: Partial Control. Recommended.
c3211393,8/10/2025,Potato,Early Blight,Flowering,Cold,High,Chlorothalonil (Bravo),Chemical,3.0 pts/acre,30,Success,Chlorothalonil (Bravo) used during Flowering stage under Cold conditions for High Early Blight. Outcome: Success. Recommended.
822e2f16,3/26/2025,Potato,Early Blight,Vegetative,Hot,Critical,Copper Hydroxide,Organic,3.0 pts/acre,10,Failure,Copper Hydroxide used during Vegetative stage under Hot conditions for Critical Early Blight. Outcome: Failure. Recommended.
a0932426,5/6/2025,Potato,Early Blight,Seedling,Cold,Low,Azoxystrobin (Quadris),Chemical,2.0 pts/acre,44,Success,Azoxystrobin (Quadris) used during Seedling stage under Cold conditions for Low Early Blight. Outcome: Success. Recommended.
e7320149,4/4/2025,Grape,Leaf Blight,Fruiting,Humid,Moderate,Copper Oxychloride,Chemical,2.0 pts/acre,22,Partial Control,Copper Oxychloride used during Fruiting stage under Humid conditions for Moderate Leaf Blight. Outcome: Partial Control. Recommended.
8dbc0857,11/20/2025,Potato,Late Blight,Flowering,Humid,High,Fixed Copper,Organic,3.0 pts/acre,18,Partial Control,Fixed Copper used during Flowering stage under Humid conditions for High Late Blight. Outcome: Partial Control. Recommended.
bbcb1fb0,4/21/2025,Apple,Cedar Apple Rust,Fruiting,Dry/Sunny,Low,Myclobutanil,Chemical,2.0 pts/acre,37,Success,Myclobutanil used during Fruiting stage under Dry/Sunny conditions for Low Cedar Apple Rust. Outcome: Success. Recommended.
4c7ce5cc,4/18/2025,Grape,Esca (Black Measles),Harvest Ready,Dry/Sunny,Moderate,Pruning & Sanitation,Mechanical,2.0 pts/acre,104,Partial Control,Pruning & Sanitation used during Harvest Ready stage under Dry/Sunny conditions for Moderate Esca (Black Measles). Outcome: Partial Control. Recommended.
187f0130,9/24/2025,Apple,Apple Scab,Vegetative,Hot,Moderate,Captan,Chemical,2.0 pts/acre,25,Success,Captan used during Vegetative stage under Hot conditions for Moderate Apple Scab. Outcome: Success. Recommended.
215ff60d,3/26/2025,Potato,Late Blight,Vegetative,Cold,Low,Fixed Copper,Organic,2.0 pts/acre,13,Partial Control,Fixed Copper used during Vegetative stage under Cold conditions for Low Late Blight. Outcome: Partial Control. Recommended.
99dd0a24,10/12/2025,Grape,Esca (Black Measles),Seedling,Cold,Critical,Trichoderma species,Organic,3.0 pts/acre,43,Failure,Trichoderma species used during Seedling stage under Cold conditions for Critical Esca (Black Measles). Outcome: Failure. Recommended.
4d11d3e8,12/18/2025,Potato,Early Blight,Flowering,Hot,Critical,Bacillus subtilis,Organic,3.0 pts/acre,31,Failure,Bacillus subtilis used during Flowering stage under Hot conditions for Critical Early Blight. Outcome: Failure. Recommended.
2b788f16,12/25/2025,Potato,Late Blight,Vegetative,Cold,High,Ridomil Gold,Chemical,3.0 pts/acre,56,Success,Ridomil Gold used during Vegetative stage under Cold conditions for High Late Blight. Outcome: Success. Recommended.
0f0668d4,4/15/2025,Apple,Apple Scab,Fruiting,Hot,Critical,Captan,Chemical,3.0 pts/acre,27,Success,Captan used during Fruiting stage under Hot conditions for Critical Apple Scab. Outcome: Success. Recommended.
cf5d79e4,9/22/2025,Grape,Black Rot,Flowering,Rainy,High,Lime Sulfur,Organic,3.0 pts/acre,16,Failure,Lime Sulfur used during Flowering stage under Rainy conditions for High Black Rot. Outcome: Failure. Recommended.
7cd8c941,1/28/2026,Grape,Esca (Black Measles),Flowering,Humid,Moderate,Trichoderma species,Organic,2.0 pts/acre,36,Partial Control,Trichoderma species used during Flowering stage under Humid conditions for Moderate Esca (Black Measles). Outcome: Partial Control. Recommended.
b68cf934,5/28/2025,Apple,Apple Scab,Harvest Ready,Dry/Sunny,Critical,Myclobutanil,Chemical,3.0 pts/acre,37,Failure,Myclobutanil used during Harvest Ready stage under Dry/Sunny conditions for Critical Apple Scab. Outcome: Failure. unsafe due to PHI (14 days).
f76e3303,4/28/2025,Tomato,Early Blight,Harvest Ready,Hot,High,Copper Hydroxide,Organic,3.0 pts/acre,19,Partial Control,Copper Hydroxide used during Harvest Ready stage under Hot conditions for High Early Blight. Outcome: Partial Control. Recommended.
b55020e6,5/11/2025,Tomato,Early Blight,Seedling,Humid,Moderate,Mancozeb (Dithane),Chemical,2.0 pts/acre,19,Success,Mancozeb (Dithane) used during Seedling stage under Humid conditions for Moderate Early Blight. Outcome: Success. Recommended.
db5c570b,8/27/2025,Potato,Late Blight,Flowering,Cold,High,Propamocarb,Chemical,3.0 pts/acre,39,Success,Propamocarb used during Flowering stage under Cold conditions for High Late Blight. Outcome: Success. Recommended.
b1a9855d,10/23/2025,Grape,Black Rot,Flowering,Dry/Sunny,Low,Captan,Chemical,2.0 pts/acre,23,Success,Captan used during Flowering stage under Dry/Sunny conditions for Low Black Rot. Outcome: Success. Recommended.
b01acd74,9/17/2025,Apple,Apple Scab,Seedling,Dry/Sunny,Moderate,Myclobutanil,Chemical,2.0 pts/acre,41,Success,Myclobutanil used during Seedling stage under Dry/Sunny conditions for Moderate Apple Scab. Outcome: Success. Recommended.
4ef2d5c2,4/19/2025,Tomato,Late Blight,Vegetative,Hot,High,Ridomil Gold,Chemical,3.0 pts/acre,56,Success,Ridomil Gold used during Vegetative stage under Hot conditions for High Late Blight. Outcome: Success. Recommended.
401193c5,3/7/2025,Grape,Leaf Blight,Vegetative,Humid,High,Mancozeb,Chemical,3.0 pts/acre,21,Partial Control,Mancozeb used during Vegetative stage under Humid conditions for High Leaf Blight. Outcome: Partial Control. Recommended.
94e79e93,11/11/2025,Grape,Leaf Blight,Vegetative,Cold,Critical,Mancozeb,Chemical,3.0 pts/acre,19,Success,Mancozeb used during Vegetative stage under Cold conditions for Critical Leaf Blight. Outcome: Success. Recommended.
00708ed9,5/31/2025,Tomato,Early Blight,Fruiting,Humid,Moderate,Chlorothalonil (Bravo),Chemical,2.0 pts/acre,20,Success,Chlorothalonil (Bravo) used during Fruiting stage under Humid conditions for Moderate Early Blight. Outcome: Success. Recommended.
772c10fd,6/18/2025,Potato,Late Blight,Vegetative,Rainy,Critical,Fixed Copper,Organic,3.0 pts/acre,20,Failure,Fixed Copper used during Vegetative stage under Rainy conditions for Critical Late Blight. Outcome: Failure. Recommended.
d29fd114,7/4/2025,Grape,Black Rot,Vegetative,Cold,High,Thiophanate-methyl,Chemical,3.0 pts/acre,29,Success,Thiophanate-methyl used during Vegetative stage under Cold conditions for High Black Rot. Outcome: Success. Recommended.
5a58284a,12/6/2025,Grape,Black Rot,Flowering,Dry/Sunny,Critical,Captan,Chemical,3.0 pts/acre,19,Success,Captan used during Flowering stage under Dry/Sunny conditions for Critical Black Rot. Outcome: Success. Recommended.
33a0bf52,7/13/2025,Apple,Apple Scab,Flowering,Cold,Low,Myclobutanil,Chemical,2.0 pts/acre,38,Success,Myclobutanil used during Flowering stage under Cold conditions for Low Apple Scab. Outcome: Success. Recommended.
4867ef08,10/14/2025,Grape,Black Rot,Fruiting,Hot,Critical,Lime Sulfur,Organic,3.0 pts/acre,10,Failure,Lime Sulfur used during Fruiting stage under Hot conditions for Critical Black Rot. Outcome: Failure. Recommended.
1989fe4c,7/20/2025,Apple,Black Rot,Fruiting,Rainy,Moderate,Thiophanate-methyl,Chemical,2.0 pts/acre,27,Partial Control,Thiophanate-methyl used during Fruiting stage under Rainy conditions for Moderate Black Rot. Outcome: Partial Control. Recommended.
0f3d5951,4/30/2025,Tomato,Late Blight,Fruiting,Humid,Moderate,Propamocarb,Chemical,2.0 pts/acre,36,Success,Propamocarb used during Fruiting stage under Humid conditions for Moderate Late Blight. Outcome: Success. Recommended.
28a12362,4/13/2025,Tomato,Bacterial Spot,Harvest Ready,Dry/Sunny,Moderate,Agri-Mycin,Chemical,2.0 pts/acre,38,Partial Control,Agri-Mycin used during Harvest Ready stage under Dry/Sunny conditions for Moderate Bacterial Spot. Outcome: Partial Control. Recommended.
fa17b1e7,6/27/2025,Apple,Apple Scab,Flowering,Hot,Moderate,Captan,Chemical,2.0 pts/acre,20,Success,Captan used during Flowering stage under Hot conditions for Moderate Apple Scab. Outcome: Success. Recommended.
bc8d2601,2/11/2026,Potato,Early Blight,Fruiting,Hot,High,Mancozeb (Dithane),Chemical,3.0 pts/acre,17,Partial Control,Mancozeb (Dithane) used during Fruiting stage under Hot conditions for High Early Blight. Outcome: Partial Control. Recommended.
92a9a024,1/13/2026,Tomato,Late Blight,Fruiting,Dry/Sunny,Moderate,Propamocarb,Chemical,2.0 pts/acre,40,Success,Propamocarb used during Fruiting stage under Dry/Sunny conditions for Moderate Late Blight. Outcome: Success. Recommended.
0641eab5,1/10/2026,Potato,Late Blight,Vegetative,Dry/Sunny,Moderate,Fixed Copper,Organic,2.0 pts/acre,11,Partial Control,Fixed Copper used during Vegetative stage under Dry/Sunny conditions for Moderate Late Blight. Outcome: Partial Control. Recommended.
281823ef,6/11/2025,Apple,Apple Scab,Harvest Ready,Dry/Sunny,Moderate,Captan,Chemical,2.0 pts/acre,25,Success,Captan used during Harvest Ready stage under Dry/Sunny conditions for Moderate Apple Scab. Outcome: Success. Recommended.
db1838bf,6/17/2025,Tomato,Bacterial Spot,Flowering,Humid,Low,Bacteriophages,Organic,2.0 pts/acre,49,Partial Control,Bacteriophages used during Flowering stage under Humid conditions for Low Bacterial Spot. Outcome: Partial Control. Recommended.
a9b783de,7/22/2025,Grape,Black Rot,Seedling,Cold,Critical,Thiophanate-methyl,Chemical,3.0 pts/acre,27,Success,Thiophanate-methyl used during Seedling stage under Cold conditions for Critical Black Rot. Outcome: Success. Recommended.
477f6625,7/15/2025,Apple,Cedar Apple Rust,Fruiting,Rainy,Critical,Propiconazole,Chemical,3.0 pts/acre,30,Success,Propiconazole used during Fruiting stage under Rainy conditions for Critical Cedar Apple Rust. Outcome: Success. Recommended.
025aa188,9/23/2025,Apple,Black Rot,Fruiting,Dry/Sunny,High,Lime Sulfur,Organic,3.0 pts/acre,7,Failure,Lime Sulfur used during Fruiting stage under Dry/Sunny conditions for High Black Rot. Outcome: Failure. Recommended.
f618ac01,9/7/2025,Grape,Esca (Black Measles),Vegetative,Hot,High,Trichoderma species,Organic,3.0 pts/acre,43,Failure,Trichoderma species used during Vegetative stage under Hot conditions for High Esca (Black Measles). Outcome: Failure. Recommended.
8106ad1d,4/28/2025,Apple,Apple Scab,Flowering,Rainy,Critical,Myclobutanil,Chemical,3.0 pts/acre,38,Success,Myclobutanil used during Flowering stage under Rainy conditions for Critical Apple Scab. Outcome: Success. Recommended.
94b73a78,5/22/2025,Apple,Black Rot,Flowering,Rainy,Moderate,Lime Sulfur,Organic,2.0 pts/acre,12,Failure,Lime Sulfur used during Flowering stage under Rainy conditions for Moderate Black Rot. Outcome: Failure. Recommended.
4011b096,6/17/2025,Grape,Black Rot,Harvest Ready,Humid,Moderate,Captan,Chemical,2.0 pts/acre,24,Success,Captan used during Harvest Ready stage under Humid conditions for Moderate Black Rot. Outcome: Success. Recommended.
